dist_m	depth_cm	replicate	redox_calib
220	2	1	304.892
220	2	2	302.63036
220	2	3	214.80334
220	2	4	270.02505
220	5	1	396.86536
220	5	2	371.42191
220	5	3	269.45964
220	5	4	286.98735
220	10	1	403.46181
220	10	2	391.96514
220	10	3	321.28889
220	10	4	363.88311
250	2	1	332.78556
250	2	2	346.92081
250	2	3	348.42857
250	2	4	326.56605
250	5	1	396.86536
250	5	2	431.92078
250	5	3	337.12037
250	5	4	390.08044
250	10	1	151.28895
250	10	2	202.92973
250	10	3	-20.59569
250	10	4	-69.40942
300	2	1	103.60604
300	2	2	125.28009
300	2	3	192.18694
300	2	4	72.32002
300	5	1	268.89423
300	5	2	45.55728
300	5	3	143.75015
300	5	4	272.66363
300	10	1	-92.40276
300	10	2	-164.77524
300	10	3	329.20463
300	10	4	97.00959
350	2	1	-124.44266
350	2	2	-92.59123
350	2	3	-118.78856
350	2	4	-88.06795
350	5	1	-221.69318
350	5	2	112.27566
350	5	3	-118.03468
350	5	4	-139.52026
350	10	1	28.97192
350	10	2	5.79011
350	10	3	-98.4338
350	10	4	-137.63556
400	2	1	13.32891
400	2	2	-19.2764
400	2	3	97.00959
400	2	4	18.98301
400	5	1	271.90975
400	5	2	226.86542
400	5	3	217.25345
400	5	4	240.8122
400	10	1	317.51949
400	10	2	302.81883
400	10	3	286.98735
400	10	4	303.76118
500	2	1	123.77233
500	2	2	95.6903
500	2	3	106.9985
500	2	4	30.66815
500	5	1	254.38204
500	5	2	280.76784
500	5	3	282.2756
500	5	4	245.90089
500	10	1	323.17359
500	10	2	366.89863
500	10	3	381.03388
500	10	4	332.22015
1000	2	1	125.8455
1000	2	2	126.41091
1000	2	3	249.10488
1000	2	4	202.74126
1000	5	1	268.70576
1000	5	2	273.79445
1000	5	3	296.41085
1000	5	4	312.80774
1000	10	1	132.06501
1000	10	2	318.0849
1000	10	3	315.25785
1000	10	4	338.8166
1150	2	1	204.06055
1150	2	2	244.20466
1150	2	3	-81.28303
1150	2	4	41.034
1150	5	1	273.98292
1150	5	2	288.11817
1150	5	3	185.96743
1150	5	4	272.09822
1150	10	1	307.15364
1150	10	2	310.35763
1150	10	3	286.23347
1150	10	4	310.35763
1400	2	1	25.57946
1400	2	2	109.63708
1400	2	3	90.0362
1400	2	4	130.93419
1400	5	1	105.49074
1400	5	2	-88.82183
1400	5	3	17.85219
1400	5	4	-89.95265
1400	10	1	-62.43603
1400	10	2	-212.08121
1400	10	3	-78.26751
1400	10	4	-87.31407
1600	2	1	-177.5912
1600	2	2	-496.29397
1600	2	3	-349.47584
1600	2	4	-247.89051
1600	5	1	-284.64216
1600	5	2	-654.4203
1600	5	3	-412.61329
1600	5	4	-399.60886
1600	10	1	-394.3317
1600	10	2	-752.61317
1600	10	3	-447.85718
1600	10	4	-517.40261
1800	2	1	-515.89485
1800	2	2	-368.32284
1800	2	3	-487.24741
1800	2	4	-686.4602
1800	5	1	-709.83048
1800	5	2	-572.43585
1800	5	3	-526.2607
1800	5	4	-742.05885
1800	10	1	-847.41358
1800	10	2	-730.18524
1800	10	3	-570.36268
1800	10	4	-852.69074
1970	2	1	-635.95024
1970	2	2	-760.71738
1970	2	3	-470.66205
1970	2	4	-444.08778
1970	5	1	-934.10978
1970	5	2	-940.70623
1970	5	3	-530.0301
1970	5	4	-753.74399
1970	10	1	-1007.99002
1970	10	2	-958.04547
1970	10	3	-628.97685
1970	10	4	-834.78609
2250	2	1	-845.90582
2250	2	2	-840.62866
2250	2	3	-789.74176
2250	2	4	-860.04107
2250	5	1	-950.69514
2250	5	2	-905.46234
2250	5	3	-856.64861
2250	5	4	-906.78163
2250	10	1	-1039.27604
2250	10	2	-1005.35144
2250	10	3	-895.85037
2250	10	4	-1010.25166
2300	2	1	-279.74194
2300	2	2	-361.91486
2300	2	3	-345.3295
2300	2	4	-277.29183
2300	5	1	-475.75074
2300	5	2	-598.82165
2300	5	3	-585.06334
2300	5	4	-491.39375
2300	10	1	-798.22291
2300	10	2	-461.99243
2300	10	3	-786.53777
2300	10	4	-752.04776
2350	2	1	-503.83277
2350	2	2	-428.82171
2350	2	3	-482.9126
2350	2	4	-391.50465
2350	5	1	-694.18747
2350	5	2	-609.94138
2350	5	3	-554.34273
2350	5	4	-471.41593
2350	10	1	-866.63752
2350	10	2	-780.31826
2350	10	3	-664.40921
2350	10	4	-658.56664
2400	2	1	-585.62875
2400	2	2	-729.61983
2400	2	3	-542.84606
2400	2	4	-607.11433
2400	5	1	-775.98345
2400	5	2	-809.90805
2400	5	3	-613.52231
2400	5	4	-773.53334
2400	10	1	-854.95238
2400	10	2	-870.78386
2400	10	3	-675.71741
2400	10	4	-843.45571
